Study Name	Tungsten_Calibration
Sample Name	2024-04-25
Run Name	spot00
Operator	Angus
Date	4/25/2024
Time	11:07
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	11:08:54 AM
	
Time	Amplitude
1.340000E-8	-4.117589E-2
1.345000E-8	-3.920771E-2
1.350000E-8	-3.691750E-2
1.355000E-8	-3.449367E-2
1.360000E-8	-3.201503E-2
1.365000E-8	-2.942163E-2
1.370000E-8	-2.693956E-2
1.375000E-8	-2.487546E-2
1.380000E-8	-2.324987E-2
1.385000E-8	-2.204052E-2
1.390000E-8	-2.143585E-2
1.395000E-8	-2.153692E-2
1.400000E-8	-2.212446E-2
1.405000E-8	-2.303575E-2
1.410000E-8	-2.429477E-2
1.415000E-8	-2.581244E-2
1.420000E-8	-2.732155E-2
1.425000E-8	-2.871760E-2
1.430000E-8	-3.002287E-2
1.435000E-8	-3.113286E-2
1.440000E-8	-3.191568E-2
1.445000E-8	-3.239359E-2
1.450000E-8	-3.262484E-2
1.455000E-8	-3.257688E-2
1.460000E-8	-3.217434E-2
1.465000E-8	-3.144462E-2
1.470000E-8	-3.044768E-2
1.475000E-8	-2.920751E-2
1.480000E-8	-2.772238E-2
1.485000E-8	-2.601114E-2
1.490000E-8	-2.413375E-2
1.495000E-8	-2.221182E-2
1.500000E-8	-2.029503E-2
1.505000E-8	-1.848787E-2
1.510000E-8	-1.694107E-2
1.515000E-8	-1.572316E-2
1.520000E-8	-1.488725E-2
1.525000E-8	-1.452239E-2
1.530000E-8	-1.463202E-2
1.535000E-8	-1.513391E-2
1.540000E-8	-1.601608E-2
1.545000E-8	-1.729908E-2
1.550000E-8	-1.885615E-2
1.555000E-8	-2.050230E-2
1.560000E-8	-2.216214E-2
1.565000E-8	-2.375519E-2
1.570000E-8	-2.514439E-2
1.575000E-8	-2.622869E-2
1.580000E-8	-2.700465E-2
1.585000E-8	-2.742604E-2
1.590000E-8	-2.741576E-2
1.595000E-8	-2.698410E-2
